numero,fecha,precio
382,2014.5973744292237,592.8
383,2014.600114155251,595.8
384,2014.6028538812786,589.5
385,2014.605593607306,592.1
386,2014.6083333333333,575.9
387,2014.6110730593607,567.7
388,2014.613812785388,542.1
389,2014.6165525114154,504.8
390,2014.619292237443,496.5
391,2014.6220319634704,522.0
392,2014.6247716894977,485.5
393,2014.627511415525,462.2
394,2014.6302511415524,485.1
395,2014.63299086758,516.8
396,2014.6357305936074,517.9
397,2014.6384703196347,516.1
398,2014.641210045662,497.7
399,2014.6439497716894,509.7
400,2014.6466894977168,502.9
401,2014.6494292237444,512.6
402,2014.6521689497717,515.2
403,2014.654908675799,510.8
404,2014.6576484018265,512.6
405,2014.6603881278538,506.0
406,2014.6631278538812,481.8
407,2014.6658675799088,477.2
408,2014.6686073059361,478.9
409,2014.6713470319635,480.0
410,2014.6740867579908,491.0
411,2014.6768264840182,483.6
412,2014.6795662100456,484.5
413,2014.6823059360731,485.8
414,2014.6849315068494,475.7
415,2014.6876712328767,474.9
416,2014.690410958904,479.7
417,2014.6931506849314,478.5
418,2014.695890410959,477.7
419,2014.6986301369864,478.2
420,2014.7013698630137,477.7
421,2014.704109589041,477.7
422,2014.7068493150684,466.8
423,2014.7095890410958,461.1
424,2014.7123287671234,424.3
425,2014.7150684931507,397.7
426,2014.717808219178,411.5
427,2014.7205479452055,401.6
428,2014.7232876712328,404.1
429,2014.7260273972602,436.9
430,2014.7287671232878,423.8
431,2014.731506849315,412.3
432,2014.7342465753425,404.5
433,2014.7369863013698,399.0
434,2014.7397260273972,379.1
435,2014.7424657534248,376.8
436,2014.7452054794521,388.2
437,2014.7479452054795,382.8
438,2014.7506849315068,375.1
439,2014.7534246575342,363.5
440,2014.7561643835616,335.3
441,2014.7589041095891,322.9
442,2014.7616438356165,331.5
443,2014.7643835616439,331.6
444,2014.7671232876712,350.9
445,2014.7698630136986,360.9
446,2014.772602739726,361.7
447,2014.7753424657535,361.2
448,2014.7780821917809,373.2
449,2014.7808219178082,387.3
450,2014.7835616438356,397.1
451,2014.786301369863,393.2
452,2014.7890410958903,379.8
453,2014.7917808219179,380.5
454,2014.7945205479452,390.9
455,2014.7972602739726,387.3
456,2014.8,380.4
457,2014.8027397260273,382.4
